Real,Simple,Expansiva,Deslizante
2947.93,2069.328562528193,4482.153801195919,4482.153801195919
8895.91,11562.143947357834,15067.351811240314,15067.351811240314
44855.48,24158.59181923926,27744.366188117267,27744.366188117267
56603.64,33069.65731622815,36296.73248912692,36296.73248912692
57624.36,40730.25694416046,43322.56781910539,43322.56781910539
57511.22,44214.53131353497,46970.94488534451,46970.94488534451
57512.92,43988.738630089756,46336.04551391363,46336.04551391363
56386.61,42116.14555166602,45712.08323487997,45712.08323487997
52826.9,40581.72243033409,56281.8143669939,56281.8143669939
48889.16,33407.5648448503,45818.64463052988,45818.64463052988
26630.9,18067.982088761924,21575.436996415854,21575.436996415854
1961.52,5975.0471347992125,4431.290918609798,4431.290918609798
8965.29,6133.02183745414,9573.04420613259,9573.04420613259
22202.23,17851.218102445604,28055.78001903057,28055.78001903057
34995.73,31127.06337314427,44048.71125389099,44048.71125389099
50024.12,38560.197336137295,49577.781947933436,49577.781947933436
52403.06,44158.4565243566,52641.70379754901,52641.70379754901
51838.92,46204.58428758383,54542.237789506915,54542.237789506915
52583.92,45861.96848347664,53462.46813261509,53462.46813261509
55963.96,43469.415844089985,52213.21213598848,52213.21213598848
54633.35,38175.97890110493,48313.791364583965,48313.791364583965
48989.32,29630.0845492661,37712.912288666965,37712.912288666965
29008.04,14091.357177129388,17201.798332234026,17201.798332234026
10633.21,3544.600113837123,3917.037247240841,3917.037247240841
3702.58,4801.179987350404,7751.134073127359,7751.134073127359
6854.09,16151.780538279116,22335.167416075466,22335.167416075466
30338.85,28005.47479694247,35488.71137180805,35488.71137180805
14267.86,34993.48955335259,41682.633016002175,41682.633016002175
22008.61,41154.09050038457,46599.6973633492,46599.6973633492
38585.12,43469.82106452107,48817.067421512606,48817.067421512606
40204.75,42910.69405446172,47956.98898614645,47956.98898614645
32762.959999999995,40340.02580977917,46139.648678312304,46139.648678312304
32873.66,36854.62840092421,34765.61287911892,34765.61287911892
19045.72,28343.65633176088,28548.499118918775,28548.499118918775
22484.96,15194.442445777655,18352.47384608209,18352.47384608209
10281.74,4651.438495525717,7717.163576059639,7717.163576059639
1030.03,1623.8403159098327,1482.963985825777,1482.963985825777
3812.89,9105.216253629327,6749.0832828921075,6749.0832828921075
23038.27,21529.110653036834,19313.450239168404,19313.450239168404
43199.85,30642.80952102363,30187.011791270972,30187.011791270972
55357.33,38479.450411568876,37695.105745152236,37695.105745152236
60898.78,42208.44704738379,41718.16891818762,41718.16891818762
59415.46,42522.643391923906,42374.062567191126,42374.062567191126
43696.33,40745.350440407994,41126.16502381921,41126.16502381921
42951.45,39519.41584440112,42494.463205373286,42494.463205373286
50746.99,31677.41639605999,33025.12937971473,33025.12937971473
36293.72,19324.57836405456,19063.12435305238,19063.12435305238
9696.98,7198.718767660558,6481.694722195565,6481.694722195565
12415.59,1988.607687844634,1735.3545665192603,1735.3545665192603
32134.68,8774.768640181423,8762.685352850556,8762.685352850556
43730.35,21856.021271007656,21699.824231791496,21699.824231791496
46151.14,32501.576864262817,32299.3390655905,32299.3390655905
43115.13,39966.92199228525,40114.19453391194,40114.19453391194
