Año,Mes,Recurso,6,7,8,9,10,11,12,13,14,15,16,17,Total_Generacion,Temperatura_Tt,Viento_Wt,Irradiancia_It
2023,2,EL PASO,3177.7551851851854,30171.103333333336,50893.770370370374,54604.666666666664,54273.013333333336,52114.427407407406,52949.014814814815,51867.46518518519,49721.729629629626,45725.98555555556,33643.12962962963,6198.560740740741,485340.6218518518,32.586419753086425,13.271296296296295,534.7808641975308
2023,3,EL PASO,5167.93064516129,27545.94419354839,43648.563548387094,49989.07806451613,49417.47,50910.15548387097,52572.35161290322,51623.14580645161,46284.44935483871,41260.69387096774,26855.793548387097,5325.56935483871,450601.14548387093,31.674193548387095,8.203763440860214,506.41666666666663
2023,4,EL PASO,7208.063666666667,28773.718666666668,37001.02033333333,42944.00466666666,44877.388000000006,45984.070666666674,45493.282,40659.111333333334,41988.45533333333,36529.45966666667,23102.255666666668,4400.207333333334,398961.0373333333,30.905277777777776,6.125,501.09166666666664
2023,5,EL PASO,8959.43258064516,26686.15806451613,38585.206774193546,46408.17193548387,46549.63225806452,45843.51935483871,49303.48032258064,48060.17838709678,43604.29967741935,36560.54806451613,23178.996129032257,4626.9874193548385,418366.610967742,30.38037634408602,4.386290322580645,465.6263440860215
2023,6,EL PASO,9202.194333333335,23924.297000000002,36786.14433333334,43010.46433333333,47460.433666666664,48961.932,50747.62366666667,49365.199,46319.51433333333,35234.01966666667,23490.29666666667,6300.284333333333,420802.4033333333,29.78944444444444,3.913888888888889,471.5
2023,7,EL PASO,8505.294838709679,25320.6935483871,37126.020000000004,44980.205483870974,51192.918387096775,52055.30225806452,52545.77838709677,50462.06774193548,46080.743870967744,36604.38612903226,20083.82193548387,4902.195161290322,429859.4277419355,31.15215053763441,3.929569892473118,496.76612903225805
2023,8,EL PASO,6901.11935483871,25529.29806451613,39346.77870967742,46000.63806451613,47361.48741935484,49030.738064516125,51337.90096774193,50405.91741935484,46485.63322580645,39966.610322580644,22116.685161290323,4420.089032258064,428902.8958064516,31.203494623655917,4.269354838709678,490.7741935483871
2023,9,EL PASO,6621.416333333333,25254.980666666666,36315.926666666666,45911.564,51257.083333333336,52154.835333333336,51943.92766666667,49311.773,44631.82233333333,36031.041,18620.515666666666,2266.6173333333336,420321.5033333333,31.150277777777777,4.578611111111112,486.36111111111114
2023,10,EL PASO,7703.803870967742,25983.052258064516,36546.772580645156,43280.32322580645,46010.75387096775,49678.541935483874,48755.50838709677,44348.813548387094,39749.02677419355,32239.093548387096,15978.36193548387,1079.27,391353.3219354839,29.129301075268817,4.676344086021506,433.66666666666663
2023,11,EL PASO,6781.307333333333,25916.363,40973.508,49075.73533333334,50790.72266666666,52737.549666666666,50141.89233333334,48837.522,46203.276333333335,36525.772666666664,16657.798333333332,562.1766666666666,425203.62433333334,29.278055555555557,4.2275,438.575
2023,12,EL PASO,4954.641612903226,29029.41838709677,46625.08064516129,54151.22806451613,58417.73774193549,56878.63387096774,56907.53161290322,53493.28161290322,49914.78,41291.71870967742,22322.69258064516,1495.906451612903,475482.65129032254,31.699462365591398,6.718817204301075,466.03494623655916
